"DateTime","Sales (USD)"
"2022-03-05 00:00:00",1788267.88
"2022-03-06 00:00:00",809053.26
"2022-03-07 00:00:00",5692253.72
"2022-03-08 00:00:00",5741027.9
"2022-03-09 00:00:00",2547713.58
"2022-03-10 00:00:00",1582195.17
"2022-03-11 00:00:00",2842036.04
"2022-03-12 00:00:00",8592317.47
"2022-03-13 00:00:00",10478819.81
"2022-03-14 00:00:00",2655263.68
"2022-03-15 00:00:00",4136421.93
"2022-03-16 00:00:00",15730215.06
"2022-03-17 00:00:00",47537444.8
"2022-03-18 00:00:00",26208566.79
"2022-03-19 00:00:00",21402192.26
"2022-03-20 00:00:00",9259090.23
"2022-03-21 00:00:00",6038768.64
"2022-03-22 00:00:00",7833130.88
"2022-03-23 00:00:00",9343219.98
"2022-03-24 00:00:00",8767466.01
"2022-03-25 00:00:00",8801662.23
"2022-03-26 00:00:00",7654895.23
"2022-03-27 00:00:00",7062685.13
"2022-03-28 00:00:00",7988728.64
"2022-03-29 00:00:00",7401687.49
"2022-03-30 00:00:00",6792898.04
"2022-03-31 00:00:00",7566473.64
"2022-04-01 00:00:00",8352336.73
"2022-04-02 00:00:00",3113974.6
"2022-04-03 00:00:00",3796297.15
"2022-04-04 00:00:00",5546124.15
"2022-04-05 00:00:00",5378597.23
"2022-04-06 00:00:00",4804515.51
"2022-04-07 00:00:00",4660028.02
"2022-04-08 00:00:00",5198736.21
"2022-04-09 00:00:00",2718864.52
"2022-04-10 00:00:00",4509843.48
"2022-04-11 00:00:00",3686163.56
"2022-04-12 00:00:00",2840383.53
"2022-04-13 00:00:00",4128079.91
"2022-04-14 00:00:00",4426765.06
"2022-04-15 00:00:00",4459312.04
"2022-04-16 00:00:00",2385907.15
"2022-04-17 00:00:00",1604510.37
"2022-04-18 00:00:00",4534091.04
"2022-04-19 00:00:00",14993321.45
"2022-04-20 00:00:00",14891317.77
"2022-04-21 00:00:00",6022254.74
"2022-04-22 00:00:00",5489352.27
"2022-04-23 00:00:00",8561104.69
"2022-04-24 00:00:00",16617532.65
"2022-04-25 00:00:00",15475359.74
"2022-04-26 00:00:00",8154639.05
"2022-04-27 00:00:00",6207206.97
"2022-04-28 00:00:00",12052277.01
"2022-04-29 00:00:00",21083943.49
"2022-04-30 00:00:00",36185799.02
"2022-05-01 00:00:00",45230449.62
"2022-05-02 00:00:00",13046139.44
"2022-05-03 00:00:00",11100656.48
"2022-05-04 00:00:00",28992396.71
"2022-05-05 00:00:00",7211130.07
"2022-05-06 00:00:00",6254152.7
"2022-05-07 00:00:00",4492420.65
"2022-05-08 00:00:00",3314080.52
"2022-05-09 00:00:00",11077010.51
"2022-05-10 00:00:00",11710952.96
"2022-05-11 00:00:00",8688604.28
"2022-05-12 00:00:00",5561700.78
"2022-05-13 00:00:00",7950853.69
"2022-05-14 00:00:00",2329395.91
"2022-05-15 00:00:00",2431968.2
"2022-05-16 00:00:00",3263772.58
"2022-05-17 00:00:00",3253787.53
"2022-05-18 00:00:00",4727486.03
"2022-05-19 00:00:00",4311257.76
"2022-05-20 00:00:00",4773896.9
"2022-05-21 00:00:00",2771722.71
"2022-05-22 00:00:00",2230402.2
"2022-05-23 00:00:00",1080461.3
"2022-05-24 00:00:00",1163094.43
"2022-05-25 00:00:00",3369685.35
"2022-05-26 00:00:00",5177953.25
"2022-05-27 00:00:00",2454866.87
"2022-05-28 00:00:00",1655152.5
"2022-05-29 00:00:00",3017605.26
"2022-05-30 00:00:00",2150435.44
"2022-05-31 00:00:00",8933157.56
"2022-06-01 00:00:00",6479507.51
"2022-06-02 00:00:00",2383072.99
"2022-06-03 00:00:00",2747918.51
"2022-06-04 00:00:00",2106771.8
"2022-06-05 00:00:00",649127.26
"2022-06-06 00:00:00",4026549.12
"2022-06-07 00:00:00",4967061.93
"2022-06-08 00:00:00",1393494.18
"2022-06-09 00:00:00",2831479.75
"2022-06-10 00:00:00",2768878.55
"2022-06-11 00:00:00",2283592.1
"2022-06-12 00:00:00",2206944.07
"2022-06-13 00:00:00",7822954.87
"2022-06-14 00:00:00",5384884.39
"2022-06-15 00:00:00",3939904.67
"2022-06-16 00:00:00",3062347.29
"2022-06-17 00:00:00",2049682.12
"2022-06-18 00:00:00",2172192.79
"2022-06-19 00:00:00",2393035.6
"2022-06-20 00:00:00",2595140.5
"2022-06-21 00:00:00",2277875.29
"2022-06-22 00:00:00",1744431.57
"2022-06-23 00:00:00",1094826.52
"2022-06-24 00:00:00",1409456.2
"2022-06-25 00:00:00",1473067.89
"2022-06-26 00:00:00",2225424.16
"2022-06-27 00:00:00",1952607.44
"2022-06-28 00:00:00",2483851.93
"2022-06-29 00:00:00",1659348.42
"2022-06-30 00:00:00",1529196.83
"2022-07-01 00:00:00",2155537.41
"2022-07-02 00:00:00",895711.21
"2022-07-03 00:00:00",1074327.68
"2022-07-04 00:00:00",1107015.29
"2022-07-05 00:00:00",1171390.78
"2022-07-06 00:00:00",2538159.97
"2022-07-07 00:00:00",2586249.38
"2022-07-08 00:00:00",2643236.58
"2022-07-09 00:00:00",2132319.29
"2022-07-10 00:00:00",3233363.08
"2022-07-11 00:00:00",636384.36
"2022-07-12 00:00:00",1390629.31
"2022-07-13 00:00:00",2521705.27
"2022-07-14 00:00:00",1174510.68
"2022-07-15 00:00:00",1754311.5
"2022-07-16 00:00:00",1455787.55
"2022-07-17 00:00:00",1282602.33
"2022-07-18 00:00:00",1842246.07
"2022-07-19 00:00:00",2399514.09
"2022-07-20 00:00:00",1127857.16
"2022-07-21 00:00:00",2478313.28
"2022-07-22 00:00:00",1798793.2
"2022-07-23 00:00:00",1188203.52
"2022-07-24 00:00:00",1056822.39
"2022-07-25 00:00:00",2048166.06
"2022-07-26 00:00:00",1206242.27
"2022-07-27 00:00:00",872245.29
"2022-07-28 00:00:00",1632544.36
"2022-07-29 00:00:00",3018975.12
"2022-07-30 00:00:00",1718800.99
"2022-07-31 00:00:00",560261.2
"2022-08-01 00:00:00",1467762.71
"2022-08-02 00:00:00",1173390.82
"2022-08-03 00:00:00",1517449.61
"2022-08-04 00:00:00",1892102.03
"2022-08-05 00:00:00",2749558.84
"2022-08-06 00:00:00",1321912.1
"2022-08-07 00:00:00",1879890.59
"2022-08-08 00:00:00",657286.09
"2022-08-09 00:00:00",1879975.43
"2022-08-10 00:00:00",1321784.05
"2022-08-11 00:00:00",1163394.8
"2022-08-12 00:00:00",1399592.99
"2022-08-13 00:00:00",1078319.45
"2022-08-14 00:00:00",1500341.74
"2022-08-15 00:00:00",1694249.81
"2022-08-16 00:00:00",2025162.78
"2022-08-17 00:00:00",3200729.26
"2022-08-18 00:00:00",2744377.74
"2022-08-19 00:00:00",1778580.25
"2022-08-20 00:00:00",2005972.77
"2022-08-21 00:00:00",2439214.49
"2022-08-22 00:00:00",2392040.95
"2022-08-23 00:00:00",1380641.29
"2022-08-24 00:00:00",2145844.66
"2022-08-25 00:00:00",3822892.25
"2022-08-26 00:00:00",2542413.18
"2022-08-27 00:00:00",2798924.1
"2022-08-28 00:00:00",1172031.58
"2022-08-29 00:00:00",1047513.62
"2022-08-30 00:00:00",1748167.45
"2022-08-31 00:00:00",2031050.99
"2022-09-01 00:00:00",375472.91
"2022-09-02 00:00:00",907969.57
"2022-09-03 00:00:00",779351.6
"2022-09-04 00:00:00",77873.7
"2022-09-05 00:00:00",1220376.43
"2022-09-06 00:00:00",756850.2
"2022-09-07 00:00:00",685727.32
"2022-09-08 00:00:00",1654475.85
"2022-09-09 00:00:00",1050058.86
"2022-09-10 00:00:00",996305.55
"2022-09-11 00:00:00",1539538.66
"2022-09-12 00:00:00",868406.95
"2022-09-13 00:00:00",744449.19
"2022-09-14 00:00:00",784663.07
"2022-09-15 00:00:00",1436144.39
"2022-09-16 00:00:00",433556.39
"2022-09-17 00:00:00",1620882.1
"2022-09-18 00:00:00",1124193.65
"2022-09-19 00:00:00",1159730.82
"2022-09-20 00:00:00",2329821.08
"2022-09-21 00:00:00",705762.4
"2022-09-22 00:00:00",595295.27
"2022-09-23 00:00:00",1981130.02
"2022-09-24 00:00:00",2000437.97
"2022-09-25 00:00:00",1131445.21
"2022-09-26 00:00:00",1445887.45
"2022-09-27 00:00:00",1051646.13
"2022-09-28 00:00:00",1188759.92
"2022-09-29 00:00:00",516277.28
"2022-09-30 00:00:00",767460.45
"2022-10-01 00:00:00",1377772.37
"2022-10-02 00:00:00",660988.48
"2022-10-03 00:00:00",559610.76
"2022-10-04 00:00:00",585147.45
"2022-10-05 00:00:00",748802.84
"2022-10-06 00:00:00",1551985.07
"2022-10-07 00:00:00",528773.17
"2022-10-08 00:00:00",1086761.98
"2022-10-09 00:00:00",727893.3
"2022-10-10 00:00:00",942054.69
"2022-10-11 00:00:00",1335722.48
"2022-10-12 00:00:00",1255135.57
"2022-10-13 00:00:00",1560753.75
"2022-10-14 00:00:00",932116.9
"2022-10-15 00:00:00",972483.58
"2022-10-16 00:00:00",1234445.42
"2022-10-17 00:00:00",319711.61
"2022-10-18 00:00:00",507711.26
"2022-10-19 00:00:00",1091968.52
"2022-10-20 00:00:00",1177697.8
"2022-10-21 00:00:00",1480258.08
"2022-10-22 00:00:00",738167.21
"2022-10-23 00:00:00",886101.51
"2022-10-24 00:00:00",403949.22
"2022-10-25 00:00:00",1596218.49
"2022-10-26 00:00:00",1794182.78
"2022-10-27 00:00:00",139202.39
