Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Sales_USD,Number_of_Sales
2018-08-08,52145793,1471896,34417,1484
2018-08-09,52179146,1473305,33352,1409
2018-08-10,52200526,1474796,21380,1491
2018-08-11,52221264,1476667,20737,1871
2018-08-12,52243346,1478828,22081,2161
2018-08-13,52272665,1481079,29319,2251
2018-08-14,52347431,1483787,74766,2708
2018-08-15,52408136,1486801,60705,3014
2018-08-16,52457071,1490457,48935,3656
2018-08-17,52514431,1495526,57359,5069
2018-08-18,52606380,1502048,91949,6522
2018-08-19,52681953,1509124,75572,7076
2018-08-20,52730941,1512738,48988,3614
2018-08-21,52813208,1516321,82266,3583
2018-08-22,52864378,1518857,51169,2536
2018-08-23,52964607,1522986,100229,4129
2018-08-24,53058341,1528251,93733,5265
2018-08-25,53216321,1533160,157979,4909
2018-08-26,53265502,1536846,49181,3686
2018-08-27,53328579,1541768,63076,4922
2018-08-28,53407141,1545875,78561,4107
2018-08-29,53476130,1550821,68989,4946
2018-08-30,53542806,1559094,66675,8273
2018-08-31,53623117,1569546,80310,10452
2018-09-01,53701147,1578974,78030,9428
2018-09-02,53776207,1586928,75060,7954
2018-09-03,53851853,1594187,75645,7259
2018-09-04,54077886,1599129,226032,4942
2018-09-05,54172206,1604677,94320,5548
2018-09-06,54223906,1611915,51699,7238
2018-09-07,54299749,1619844,75842,7929
2018-09-08,54397820,1625944,98070,6100
2018-09-09,54486010,1635097,88190,9153
2018-09-10,54636180,1643150,150169,8053
2018-09-11,54716582,1654050,80401,10900
2018-09-12,54876284,1663880,159701,9830
2018-09-13,55039580,1668330,163296,4450
2018-09-14,55186617,1673099,147036,4769
2018-09-15,55289902,1676897,103285,3798
2018-09-16,55466897,1680119,176994,3222
2018-09-17,55535068,1683981,68171,3862
2018-09-18,55623676,1688232,88607,4251
2018-09-19,55740032,1693587,116355,5355
2018-09-20,55838640,1698004,98607,4417
2018-09-21,55996549,1703324,157909,5320
2018-09-22,56063748,1710418,67198,7094
2018-09-23,56267825,1715933,204076,5515
2018-09-24,56353468,1720796,85643,4863
2018-09-25,56418559,1725574,65091,4778
2018-09-26,56499822,1731457,81262,5883
2018-09-27,56602775,1737688,102953,6231
2018-09-28,56652339,1741348,49563,3660
2018-09-29,56736513,1745618,84174,4270
2018-09-30,56788384,1750614,51870,4996
2018-10-01,56860505,1755013,72120,4399
2018-10-02,56948313,1758146,87807,3133
2018-10-03,57104588,1761914,156275,3768
2018-10-04,57223799,1766257,119210,4343
2018-10-05,57340760,1773680,116960,7423
2018-10-06,57415716,1778139,74956,4459
2018-10-07,57498904,1782636,83187,4497
2018-10-08,57559105,1786882,60201,4246
2018-10-09,57633310,1790582,74205,3700
2018-10-10,57723978,1794903,90668,4321
2018-10-11,57864510,1801199,140531,6296
2018-10-12,58034342,1805898,169831,4699
2018-10-13,58163166,1809861,128824,3963
2018-10-14,58232911,1813176,69744,3315
2018-10-15,58327147,1816292,94236,3116
2018-10-16,58379201,1819660,52053,3368
2018-10-17,58464818,1825180,85617,5520
2018-10-18,58563826,1828667,99008,3487
2018-10-19,58643222,1836752,79396,8085
2018-10-20,58694350,1841417,51127,4665
2018-10-21,58741979,1846914,47628,5497
2018-10-22,58929423,1851138,187443,4224
2018-10-23,59025498,1856343,96075,5205
2018-10-24,59118350,1860632,92851,4289
2018-10-25,59178319,1864187,59969,3555
2018-10-26,59231988,1868774,53668,4587
2018-10-27,59290179,1874218,58191,5444
2018-10-28,59351563,1878507,61383,4289
2018-10-29,59414410,1882794,62847,4287
2018-10-30,59542214,1886604,127804,3810
2018-10-31,59582688,1890349,40473,3745
2018-11-01,59688541,1894297,105853,3948
2018-11-02,59809828,1898141,121286,3844
2018-11-03,59857476,1902763,47648,4622
2018-11-04,59916019,1907486,58542,4723
2018-11-05,60190689,1911939,274669,4453
2018-11-06,60290359,1915719,99670,3780
2018-11-07,60427918,1920902,137558,5183
2018-11-08,60530995,1924658,103076,3756
2018-11-09,60609875,1928212,78880,3554
2018-11-10,60676390,1932294,66514,4082
2018-11-11,60908697,1936432,232306,4138
2018-11-12,61005429,1940417,96732,3985
2018-11-13,61164733,1945734,159303,5317
2018-11-14,61301965,1951214,137231,5480
2018-11-15,61427120,1961455,125154,10241
2018-11-16,61519551,1968039,92431,6584
2018-11-17,61559202,1972914,39650,4875
2018-11-18,61617357,1977537,58154,4623
2018-11-19,61720238,1981626,102880,4089
2018-11-20,61789716,1985658,69477,4032
2018-11-21,61830565,1992093,40849,6435
2018-11-22,61883785,1998720,53219,6627
2018-11-23,61953203,2003332,69417,4612
2018-11-24,62002092,2007876,48888,4544
2018-11-25,62033880,2013057,31788,5181
2018-11-26,62084745,2019035,50864,5978
2018-11-27,62130054,2025173,45309,6138
2018-11-28,62180092,2030302,50038,5129
2018-11-29,62278317,2034929,98224,4627
2018-11-30,62382590,2041032,104272,6103
2018-12-01,62441696,2051912,59106,10880
2018-12-02,62496110,2059399,54414,7487
